"May she wake in torment!"" he cried, with frightful vehemence, stamping his foot, and groaning in a sudden paroxysm of ungovernable passion. ""Why, she's a liar to the end! Where is she? Not there”not in heaven”not perished”where? Oh! you said you cared nothing for my sufferings! And I pray one prayer”I repeat it till my tongue stiffens”May she wake in torment!"" he cried, with frightful vehemence, stamping his foot, and groaning in a sudden paroxysm of ungovernable passion. ""Why, she's a liar to the end! Where is she? Not there”not in heaven”not perished”where? Oh! you said you cared nothing for my sufferings! And I pray one prayer”I repeat it till my tongue stiffens”Catherine Earnshaw, may you not rest as long as I am living; you said I killed you”haunt me, then! The murdered do haunt their murderers, I believe. I know that ghosts have wandered on earth. Be with me always”take any form”drive me mad! only do not leave me in this abyss, where I cannot find you! Oh, God! it is unutterable! I cannot live without my life! I cannot live without my soul!  - Emily BrontÃ«, Wuthering Heights	"
"O serpent heart hid with a flowering face! Did ever a dragon keep so fair a cave? Beautiful tyrant, feind angelical, dove feather raven, wolvish-ravening lamb! Despised substance of devinest show, just opposite to what thou justly seemest - A dammed saint, an honourable villain!  - William Shakespeare, Romeo and Juliet	"
"I already explained this. I don™t like you. True, I don™t like most people, but I especially dislike you. I could start my own religion based on how much I dislike you.  - G.A. Aiken, What a Dragon Should Know	"
"Hate looks like everybody else until it smiles  - Tahereh Mafi	"
"The opposite of love is not hate. Hate is just love gone bad. The actual opposite of love is apathy. When you don't care a damn as to what happens to the other person.  - Amish Tripathi, The Secret of the Nagas	"
"Stronger than lover's love is lover's hate. Incurable, in each, the wounds they make.  - Euripides, Medea	"
"To die hating them, that was freedom.  - George Orwell, 1984	"
"When you really know somebody you can™t hate them. Or maybe it™s just that you can™t really know them until you stop hating them.  - Orson Scott Card, Speaker for the Dead	"
"Men are driven by two principal impulses, either by love or by fear.  - NiccolÃ² Machiavelli, The Discourses	"
"Most hatred is based on fear, one way or another. Yeah. I wrapped myself in anger, with a dash of hate, and at the bottom of it all was an icy center of pure terror.  - Laurell K. Hamilton, Guilty Pleasures	"
